MODEL.01
Isotropic model 
ISOTROPIC 
KGS 
FLAT EARTH 
1-D 
CONSTANT VELOCITY 
LINE08
LINE09
LINE10
LINE11
H(KM) VP(KM/S)  VS(KM/S) RHO(GM/CC)  QP    QS   ETAP   ETAS   FREFP  FREFS
  0.50   7.88   4.48   3.22  1600   600  0  0 1.0 1.0
  0.50   7.88   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.90   4.50   3.22  1600   600  0  0 1.0 1.0
  0.50   7.90   4.50   3.22  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.92   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.92   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.52   3.23  1600   600  0  0 1.0 1.0
  0.50   7.94   4.52   3.23  1600   600  0  0 1.0 1.0
  0.50   7.94   4.52   3.24  1600   600  0  0 1.0 1.0
  0.50   7.95   4.52   3.24  1600   600  0  0 1.0 1.0
  0.50   7.95   4.52   3.24  1600   600  0  0 1.0 1.0
  0.50   7.95   4.53   3.24  1600   600  0  0 1.0 1.0
  0.50   7.96   4.53   3.24  1600   600  0  0 1.0 1.0
  0.50   7.96   4.53   3.24  1600   600  0  0 1.0 1.0
  0.50   7.97   4.53   3.24  1600   600  0  0 1.0 1.0
  0.50   7.97   4.53   3.24  1600   600  0  0 1.0 1.0
  0.50   7.97   4.54   3.25  1600   600  0  0 1.0 1.0
  0.50   7.98   4.54   3.25  1600   600  0  0 1.0 1.0
  0.50   7.98   4.54   3.25  1600   600  0  0 1.0 1.0
  0.50   7.99   4.54   3.25  1600   600  0  0 1.0 1.0
  0.50   7.99   4.55   3.25  1600   600  0  0 1.0 1.0
  0.50   8.00   4.55   3.25  1600   600  0  0 1.0 1.0
  0.50   8.00   4.55   3.25  1600   600  0  0 1.0 1.0
  0.50   8.00   4.55   3.25  1600   600  0  0 1.0 1.0
  0.50   8.01   4.55   3.25  1600   600  0  0 1.0 1.0
  0.50   8.01   4.56   3.26  1600   600  0  0 1.0 1.0
  0.50   8.01   4.56   3.26  1600   600  0  0 1.0 1.0
  0.50   8.02   4.56   3.26  1600   600  0  0 1.0 1.0
  0.50   8.02   4.56   3.26  1600   600  0  0 1.0 1.0
  0.50   8.03   4.57   3.26  1600   600  0  0 1.0 1.0
  0.50   8.03   4.57   3.26  1600   600  0  0 1.0 1.0
  0.50   8.03   4.57   3.26  1600   600  0  0 1.0 1.0
  0.50   8.04   4.57   3.26  1600   600  0  0 1.0 1.0
  0.50   8.04   4.57   3.26  1600   600  0  0 1.0 1.0
  0.50   8.05   4.58   3.26  1600   600  0  0 1.0 1.0
  0.50   8.05   4.58   3.27  1600   600  0  0 1.0 1.0
  0.50   8.05   4.58   3.27  1600   600  0  0 1.0 1.0
  0.50   8.06   4.58   3.27  1600   600  0  0 1.0 1.0
  0.50   8.06   4.58   3.27  1600   600  0  0 1.0 1.0
  0.50   8.06   4.59   3.27  1600   600  0  0 1.0 1.0
  0.50   8.07   4.59   3.27  1600   600  0  0 1.0 1.0
  0.50   8.07   4.59   3.27  1600   600  0  0 1.0 1.0
  0.50   8.07   4.59   3.27  1600   600  0  0 1.0 1.0
  0.50   8.08   4.59   3.27  1600   600  0  0 1.0 1.0
  0.50   8.08   4.60   3.28  1600   600  0  0 1.0 1.0
  0.50   8.08   4.60   3.28  1600   600  0  0 1.0 1.0
  0.50   8.09   4.60   3.28  1600   600  0  0 1.0 1.0
  0.50   8.09   4.60   3.28  1600   600  0  0 1.0 1.0
  0.50   8.09   4.60   3.28  1600   600  0  0 1.0 1.0
  0.50   8.10   4.60   3.28  1600   600  0  0 1.0 1.0
  0.50   8.10   4.61   3.28  1600   600  0  0 1.0 1.0
  0.50   8.10   4.61   3.28  1600   600  0  0 1.0 1.0
  0.50   8.11   4.61   3.28  1600   600  0  0 1.0 1.0
  0.50   8.11   4.61   3.28  1600   600  0  0 1.0 1.0
  0.50   8.11   4.61   3.28  1600   600  0  0 1.0 1.0
  0.50   8.26   4.61   3.45  1600   600  0  0 1.0 1.0
  0.50   8.26   4.62   3.45  1600   600  0  0 1.0 1.0
  0.50   8.26   4.62   3.45  1600   600  0  0 1.0 1.0
  0.50   8.26   4.62   3.45  1600   600  0  0 1.0 1.0
  0.50   8.27   4.62   3.45  1600   600  0  0 1.0 1.0
